universe	quadrant	rep	pool_name	n_donors	seed	min_dist	mean_dist	max_dist	entropy_mean	entropy_p25	frac_discrim	kl_min	kl_mean	log_det
EUR_only	highmin_lowmean	1	EUR_only__highmin_lowmean_new__rep1	8	200001	103.38278	105.28411	107.842476	0.56151885	0.37677016854286194	0.80505	1.4926219	1.5543929	-8.203843146992012
EUR_only	lowmin_highmean	1	EUR_only__lowmin_highmean_new__rep1	8	200001	80.58536	106.11975	110.97297	0.549105	0.37677016854286194	0.7845	0.89919883	1.5622844	-8.222681934452822
EUR_only	highmin_lowmean	2	EUR_only__highmin_lowmean_new__rep2	8	200002	103.09704	105.027405	109.47146	0.5536912	0.37677016854286194	0.79525	1.4740387	1.532184	-8.21169290035756
EUR_only	lowmin_highmean	2	EUR_only__lowmin_highmean_new__rep2	8	200002	87.24104	107.199326	114.02631	0.55220294	0.37677016854286194	0.77195	1.0480992	1.5900756	-8.020087116227806
