group	singlets_called_DBL	wrong_donor	doublets_missed	total_bad
ordinary EUR_only	1420.991221246805	8.519465125754714	47.50527836426269	1477.0159647368225
family EUR_only	1539.800718598363	24.44716079564396	60.37707893469644	1624.624958328703
adv_mindist (all univ)	1469.901884523117	9.020610133152049	51.247524234718895	1530.1700188909879
