group	pools	min_dist	mean_dist	sng_gap	wrong_donor_per10k	lost_to_DBL_per10k
ordinary EUR_only	12	106.84543065531412	111.5040976629639	66.69495973999	11.241034663930227	1578.8986294604267
family EUR_only	3	74.88797251383464	102.13647206624348	45.903262164846076	32.770605759682155	1710.9108120344074
ordinary EUR_AFR	12	107.00504033333333	119.61595333333334	78.02119526381894	6.950626166059015	1562.024118203893
family EUR_AFR	3	74.88797251383464	108.37361653645833	51.16638894452233	26.036451031443697	1780.0551508416672
ordinary AFR_only	11	108.15484499067827	116.75004471790659	78.47601561337284	6.223701478805799	1703.6895688581078
ordinary all_5	12	110.49530316666667	122.38455866666668	79.56497850941808	5.600944855045364	1549.4711281228135
adv_mindist (all univ)	17	95.43961513743682	99.58539177389706	65.86255616514462	11.979582624396246	1633.2444818895576
