modality	ambient	n_pools	n_droplets	sng_gap	rho_sng_gap	p_sng_gap	rho_acc	p_acc	rho_p_sng	p_p_sng
gex	0-10%	105	192051	80.76880976183884	0.7120360771304167	1.6590397284939287e-17	-0.009880478393738531	0.9203163338517665	0.4872679658584277	1.3542269955141948e-07
gex	10-20%	105	275540	72.73554926939421	0.7206303130831433	4.458084627726602e-18	0.37164896734576797	9.482853279722964e-05	0.43227676153008543	4.127369728755996e-06
gex	20-30%	105	171881	68.98977081976705	0.7209516898196144	4.240280397321343e-18	0.1383396074032149	0.15931856795868063	0.12269582636011482	0.2124248359727111
gex	30-40%	105	62338	58.5900526728793	0.7092266224341696	2.5230829748226143e-17	0.26592195483269243	0.006109947453192487	-0.33806643163738187	0.0004200964168326429
atac	0-10%	105	190568	199.05912843295	0.7294837238233465	1.0928127487373259e-18			0.17313158968197975	0.07736265824089292
atac	10-20%	105	286219	186.0122956245664	0.7366473149492018	3.3622557031539433e-19	0.037697798354122285	0.70261031048844	0.4718891178976455	3.742148295970235e-07
atac	20-30%	105	196281	166.36944711719448	0.7181629691063653	6.533659835264728e-18	-0.21462082522654574	0.027908477779713604	0.5688800616804383	2.431431054994032e-10
atac	30-40%	105	88075	149.51974651992185	0.7268712419655815	1.664185407516625e-18			0.3628072149496799	0.00014260066567036835
