modality	lo	hi	n_pools	n_droplets	acc_ordinary	acc_adversarial	mwu_p	rho_min_dist_acc	p_acc	rho_min_dist_llgap	p_llgap
gex	0	700.0	26	12027	0.9718036071697492	0.9900990099009901		0.11055497459614823	0.6070599409762537	0.15090237364774922	0.4815265155829138
gex	700	1200.0	128	72261	0.9951183801603509	0.9889460692342231	5.187170233716586e-05	0.11052991959694963	0.2616583247051964	0.28726417910920266	0.002966019959761987
gex	1200	2000.0	128	180563	0.99979883491596	0.9990284965386743	0.0002493382006214592	0.022072233979318234	0.8231518981483109	0.3105747824051369	0.0012620282280729614
gex	2000	inf	128	607917	0.9999960263297923	0.9999719983292152	0.005653531860787751	0.07614045907026513	0.44012054747684004	0.32797609333785904	0.0006366219484163001
atac	700	1200.0	0	8035							
atac	1200	2000.0	128	42305	0.9999142516236533	0.9993432396091247	0.0008593891082774145	-0.11830449707179783	0.22937309921917665	0.24795701771425727	0.010761530445432573
atac	2000	inf	128	899766	1.0	1.0	1.0			0.3228132379047368	0.000783252854045375
