pool	universe	strategy	modality	true_donor	n_cells	donor_accuracy	min_dist	mean_dist	kl_min	kl_mean
AMR_only__random__rep1	AMR_only	random	gex	HG01067	1023	0.8347996089931574	99.944984	108.27232	1.7250395	2.0282283
AMR_only__random__rep2	AMR_only	random	atac	NA19758	1041	0.9020172910662824	103.71596	107.51616	1.8576682	1.9972973
AMR_only__random__rep2	AMR_only	random	gex	NA19722	989	0.8149646107178968	103.71596	107.51616	1.8576682	1.9972973
AMR_only__random__rep3	AMR_only	random	atac	HG01474	1041	0.9087415946205571	95.01053	108.602104	1.5589077	2.0433142
AMR_only__random__rep3	AMR_only	random	gex	HG01171	1019	0.8263002944062807	95.01053	108.602104	1.5589077	2.0433142
EAS_only__adversarial_mindist__rep1	EAS_only	adversarial_mindist	atac	HG02078	1048	0.8950381679389313	92.89779663085938	95.63932037353516	1.169398069381714	1.2518590688705444
EAS_only__adversarial_mindist__rep1	EAS_only	adversarial_mindist	gex	NA19066	1016	0.8070866141732284	92.89779663085938	95.63932037353516	1.169398069381714	1.2518590688705444
EAS_only__adversarial_mindist__rep3	EAS_only	adversarial_mindist	atac	HG00557	1023	0.8914956011730205	90.57593536376952	95.3362274169922	1.115867257118225	1.2524397373199463
EAS_only__adversarial_mindist__rep3	EAS_only	adversarial_mindist	gex	NA18648	981	0.7166156982670744	90.57593536376952	95.3362274169922	1.115867257118225	1.2524397373199463
EAS_only__greedy_maxkl__rep2	EAS_only	greedy_maxkl	atac	HG00404	1016	0.8966535433070866	102.90287017822266	105.93866729736328	1.4526095390319824	1.5450935363769531
EAS_only__greedy_maxkl__rep2	EAS_only	greedy_maxkl	gex	HG00409	1041	0.8270893371757925	102.90287017822266	105.93866729736328	1.4526095390319824	1.5450935363769531
EAS_only__greedy_maxkl__rep3	EAS_only	greedy_maxkl	atac	HG00406	982	0.9032586558044806	104.01441955566406	107.6406021118164	1.4437906742095947	1.5713285207748413
EAS_only__greedy_maxkl__rep3	EAS_only	greedy_maxkl	gex	HG00982	981	0.8226299694189603	104.01441955566406	107.6406021118164	1.4437906742095947	1.5713285207748413
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	atac	NA18989	1023	0.8963831867057673	101.04949	108.488594	1.7633773	2.0337481
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	gex	NA18648	981	0.745158002038736	101.04949	108.488594	1.7633773	2.0337481
EAS_only__greedy_maxmean__rep2	EAS_only	greedy_maxmean	atac	HG02383	1023	0.9022482893450635	101.862656	107.79176	1.7918719	2.0078135
EAS_only__greedy_maxmean__rep2	EAS_only	greedy_maxmean	gex	NA18562	1041	0.8117195004803074	101.862656	107.79176	1.7918719	2.0078135
EAS_only__greedy_maxmean__rep3	EAS_only	greedy_maxmean	atac	HG02250	1023	0.9022482893450635	102.86399	107.9199	1.8272742	2.012507
EAS_only__greedy_maxmean__rep3	EAS_only	greedy_maxmean	gex	HG02383	989	0.8311425682507584	102.86399	107.9199	1.8272742	2.012507
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	atac	NA18989	1048	0.9036259541984732	105.17604	108.05689	1.9103398	2.0170093
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	gex	HG02383	981	0.8216106014271152	105.17604	108.05689	1.9103398	2.0170093
EAS_only__greedy_maxmin__rep2	EAS_only	greedy_maxmin	atac	HG02057	1023	0.895405669599218	102.90287	105.93867	1.8286557	1.9388591
EAS_only__greedy_maxmin__rep2	EAS_only	greedy_maxmin	gex	NA19059	1041	0.8097982708933718	102.90287	105.93867	1.8286557	1.9388591
EAS_only__random__rep1	EAS_only	random	atac	NA18555	989	0.9059656218402427	98.48858	100.94222	1.6751306	1.760454
EAS_only__random__rep1	EAS_only	random	gex	HG00580	1016	0.827755905511811	98.48858	100.94222	1.6751306	1.760454
EAS_only__random__rep2	EAS_only	random	atac	HG01801	1023	0.8924731182795699	95.77578	100.570946	1.5841211	1.7477361
EAS_only__random__rep2	EAS_only	random	gex	NA19075	981	0.8124362895005097	95.77578	100.570946	1.5841211	1.7477361
EUR_AFR__adversarial_family_mixed__rep1	EUR_AFR	adversarial_family_mixed	atac	NA12006	1041	0.8972142170989433	74.20242309570312	108.13706970214844	0.7649052739143372	1.6871192455291748
EUR_AFR__adversarial_family_mixed__rep1	EUR_AFR	adversarial_family_mixed	gex	NA10838	981	0.8042813455657493	74.20242309570312	108.13706970214844	0.7649052739143372	1.6871192455291748
EUR_AFR__adversarial_family_mixed__rep2	EUR_AFR	adversarial_family_mixed	atac	NA12878	1048	0.8969465648854962	75.80896759033203	107.3395004272461	0.8036584258079529	1.6687061786651611
EUR_AFR__adversarial_family_mixed__rep2	EUR_AFR	adversarial_family_mixed	gex	NA12892	1041	0.7646493756003843	75.80896759033203	107.3395004272461	0.8036584258079529	1.6687061786651611
EUR_AFR__adversarial_family_mixed__rep3	EUR_AFR	adversarial_family_mixed	atac	NA11992	1016	0.8946850393700787	74.65252685546875	109.64427947998048	0.782111644744873	1.737396478652954
EUR_AFR__adversarial_family_mixed__rep3	EUR_AFR	adversarial_family_mixed	gex	NA19226	989	0.813953488372093	74.65252685546875	109.64427947998048	0.782111644744873	1.737396478652954
EUR_AFR__adversarial_mindist__rep3	EUR_AFR	adversarial_mindist	atac	NA19210	981	0.9072375127420998	101.38540649414062	103.82488250732422	1.398493766784668	1.4899033308029177
EUR_AFR__adversarial_mindist__rep3	EUR_AFR	adversarial_mindist	gex	NA19210	981	0.7563710499490316	101.38540649414062	103.82488250732422	1.398493766784668	1.4899033308029177
EUR_AFR__ancestry_balanced__rep1	EUR_AFR	ancestry_balanced	atac	NA12891	1041	0.9048991354466859	102.610916	115.37739	1.8182942	2.309016
EUR_AFR__ancestry_balanced__rep1	EUR_AFR	ancestry_balanced	gex	HG03303	1048	0.8311068702290076	102.610916	115.37739	1.8182942	2.309016
EUR_AFR__ancestry_balanced__rep3	EUR_AFR	ancestry_balanced	atac	HG02232	982	0.9093686354378818	103.43114	115.73577	1.8474793	2.3245277
EUR_AFR__ancestry_balanced__rep3	EUR_AFR	ancestry_balanced	gex	HG02496	1023	0.823069403714565	103.43114	115.73577	1.8474793	2.3245277
EUR_AFR__greedy_maxmean__rep1	EUR_AFR	greedy_maxmean	atac	HG00096	1023	0.9149560117302052	111.754196	125.613	2.1567743	2.735348
EUR_AFR__greedy_maxmean__rep1	EUR_AFR	greedy_maxmean	gex	HG02816	1019	0.7369970559371933	111.754196	125.613	2.1567743	2.735348
EUR_AFR__greedy_maxmean__rep2	EUR_AFR	greedy_maxmean	atac	HG02678	982	0.905295315682281	109.128365	124.636955	2.0566115	2.6937842
EUR_AFR__greedy_maxmean__rep2	EUR_AFR	greedy_maxmean	gex	HG03246	1019	0.803729146221786	109.128365	124.636955	2.0566115	2.6937842
EUR_AFR__greedy_maxmean__rep3	EUR_AFR	greedy_maxmean	atac	HG02678	1023	0.9130009775171065	110.054535	125.45805	2.0916684	2.7302349
EUR_AFR__greedy_maxmean__rep3	EUR_AFR	greedy_maxmean	gex	HG03172	1019	0.8233562315996075	110.054535	125.45805	2.0916684	2.7302349
EUR_AFR__greedy_maxmin__rep1	EUR_AFR	greedy_maxmin	atac	HG00117	1048	0.9007633587786259	114.328476	122.84393	2.257282	2.6146286
EUR_AFR__greedy_maxmin__rep1	EUR_AFR	greedy_maxmin	gex	NA19210	981	0.781855249745158	114.328476	122.84393	2.257282	2.6146286
EUR_AFR__greedy_maxmin__rep3	EUR_AFR	greedy_maxmin	atac	HG02977	1016	0.9015748031496063	114.82596	123.18687	2.2769692	2.6287215
EUR_AFR__greedy_maxmin__rep3	EUR_AFR	greedy_maxmin	gex	HG01885	981	0.8297655453618756	114.82596	123.18687	2.2769692	2.6287215
EUR_AFR__random__rep1	EUR_AFR	random	atac	NA19035	981	0.9113149847094801	98.35649	112.82521	1.6706406	2.213658
EUR_AFR__random__rep1	EUR_AFR	random	gex	NA19035	981	0.8267074413863404	98.35649	112.82521	1.6706406	2.213658
EUR_EAS__ancestry_balanced__rep1	EUR_EAS	ancestry_balanced	atac	HG01817	1023	0.9002932551319648	97.36529	110.09422	1.6371381	2.099754
EUR_EAS__ancestry_balanced__rep1	EUR_EAS	ancestry_balanced	gex	HG01697	981	0.8287461773700305	97.36529	110.09422	1.6371381	2.099754
EUR_EAS__ancestry_balanced__rep2	EUR_EAS	ancestry_balanced	atac	NA12775	981	0.9072375127420998	98.44795	109.95892	1.6737492	2.095221
EUR_EAS__ancestry_balanced__rep2	EUR_EAS	ancestry_balanced	gex	NA20757	1016	0.7834645669291339	98.44795	109.95892	1.6737492	2.095221
EUR_EAS__greedy_maxmean__rep1	EUR_EAS	greedy_maxmean	atac	HG00525	1023	0.9071358748778103	107.912	119.48134	2.0110204	2.4725697
EUR_EAS__greedy_maxmean__rep1	EUR_EAS	greedy_maxmean	gex	HG00256	981	0.8277268093781855	107.912	119.48134	2.0110204	2.4725697
EUR_EAS__greedy_maxmean__rep2	EUR_EAS	greedy_maxmean	atac	HG01628	982	0.9063136456211812	103.39729	118.65934	1.8462703	2.4411514
EUR_EAS__greedy_maxmean__rep2	EUR_EAS	greedy_maxmean	gex	HG01841	1023	0.823069403714565	103.39729	118.65934	1.8462703	2.4411514
EUR_EAS__greedy_maxmin__rep1	EUR_EAS	greedy_maxmin	atac	NA18642	981	0.8950050968399592	110.63905	116.75554	2.113946	2.3574567
EUR_EAS__greedy_maxmin__rep1	EUR_EAS	greedy_maxmin	gex	HG00096	1041	0.8174831892411143	110.63905	116.75554	2.113946	2.3574567
EUR_EAS__greedy_maxmin__rep2	EUR_EAS	greedy_maxmin	atac	NA20769	981	0.908256880733945	109.49429	113.50211	2.0704272	2.226271
EUR_EAS__greedy_maxmin__rep2	EUR_EAS	greedy_maxmin	gex	HG01628	989	0.8291203235591507	109.49429	113.50211	2.0704272	2.226271
EUR_EAS__random__rep1	EUR_EAS	random	atac	HG00332	982	0.9103869653767821	99.50377	109.29115	1.7098422	2.0664551
EUR_EAS__random__rep1	EUR_EAS	random	gex	NA18582	981	0.8205912334352702	99.50377	109.29115	1.7098422	2.0664551
EUR_EAS__random__rep2	EUR_EAS	random	atac	HG00689	1023	0.9120234604105572	93.28451	108.98568	1.5027822	2.060164
EUR_EAS__random__rep2	EUR_EAS	random	gex	HG01801	1019	0.8341511285574092	93.28451	108.98568	1.5027822	2.060164
EUR_EAS__random__rep3	EUR_EAS	random	atac	HG02224	1041	0.909702209414025	100.76209	110.09599	1.7533611	2.0991127
EUR_EAS__random__rep3	EUR_EAS	random	gex	NA18562	981	0.8134556574923547	100.76209	110.09599	1.7533611	2.0991127
EUR_only__adversarial_family__rep1	EUR_only	adversarial_family	atac	NA12006	1041	0.8924111431316042	74.20242309570312	101.90351104736328	0.7649052739143372	1.4536033868789673
EUR_only__adversarial_family__rep1	EUR_only	adversarial_family	gex	HG00106	989	0.8048533872598584	74.20242309570312	101.90351104736328	0.7649052739143372	1.4536033868789673
EUR_only__adversarial_family__rep2	EUR_only	adversarial_family	atac	NA12889	1016	0.8996062992125984	75.80896759033203	101.97260284423828	0.8036584258079529	1.458475947380066
EUR_only__adversarial_family__rep2	EUR_only	adversarial_family	gex	NA12892	1041	0.7646493756003843	75.80896759033203	101.97260284423828	0.8036584258079529	1.458475947380066
EUR_only__adversarial_family__rep3	EUR_only	adversarial_family	atac	NA11994	1023	0.8826979472140762	74.65252685546875	102.5333023071289	0.782111644744873	1.4711860418319702
EUR_only__adversarial_family__rep3	EUR_only	adversarial_family	gex	NA11994	1023	0.8152492668621701	74.65252685546875	102.5333023071289	0.782111644744873	1.4711860418319702
EUR_only__adversarial_mindist__rep1	EUR_only	adversarial_mindist	atac	HG00357	1023	0.9081133919843597	96.70574188232422	99.81437683105467	1.262070655822754	1.3686530590057373
EUR_only__adversarial_mindist__rep1	EUR_only	adversarial_mindist	gex	HG00106	981	0.7838939857288482	96.70574188232422	99.81437683105467	1.262070655822754	1.3686530590057373
EUR_only__adversarial_mindist__rep2	EUR_only	adversarial_mindist	atac	HG01507	1023	0.8914956011730205	95.7757797241211	99.21085357666016	1.2756993770599363	1.37679922580719
EUR_only__adversarial_mindist__rep2	EUR_only	adversarial_mindist	gex	HG00141	1016	0.6663385826771654	95.7757797241211	99.21085357666016	1.2756993770599363	1.37679922580719
EUR_only__greedy_maxkl__rep1	EUR_only	greedy_maxkl	atac	HG00100	1023	0.9071358748778103	109.31148529052734	112.7927017211914	1.6305500268936155	1.733123779296875
EUR_only__greedy_maxkl__rep1	EUR_only	greedy_maxkl	gex	NA12873	981	0.8256880733944955	109.31148529052734	112.7927017211914	1.6305500268936155	1.733123779296875
EUR_only__greedy_maxkl__rep2	EUR_only	greedy_maxkl	atac	HG00096	1048	0.8940839694656488	109.9408950805664	113.56157684326172	1.6378905773162842	1.780522346496582
EUR_only__greedy_maxkl__rep2	EUR_only	greedy_maxkl	gex	NA20802	981	0.7675840978593272	109.9408950805664	113.56157684326172	1.6378905773162842	1.780522346496582
EUR_only__greedy_maxkl__rep3	EUR_only	greedy_maxkl	atac	HG00309	981	0.8950050968399592	110.19074249267578	113.52216339111328	1.605998396873474	1.752708077430725
EUR_only__greedy_maxkl__rep3	EUR_only	greedy_maxkl	gex	HG00101	1041	0.8174831892411143	110.19074249267578	113.52216339111328	1.605998396873474	1.752708077430725
EUR_only__greedy_maxmean__rep1	EUR_only	greedy_maxmean	atac	NA11994	1023	0.906158357771261	108.64622	114.11996	2.0384786	2.250664
EUR_only__greedy_maxmean__rep1	EUR_only	greedy_maxmean	gex	HG00106	981	0.7930682976554536	108.64622	114.11996	2.0384786	2.250664
EUR_only__greedy_maxmean__rep3	EUR_only	greedy_maxmean	atac	HG00309	981	0.9041794087665648	108.04166	113.97461	2.0158558	2.245107
EUR_only__greedy_maxmean__rep3	EUR_only	greedy_maxmean	gex	NA06994	982	0.8197556008146639	108.04166	113.97461	2.0158558	2.245107
EUR_only__greedy_maxmin__rep1	EUR_only	greedy_maxmin	atac	HG00108	1023	0.9081133919843597	109.311485	112.7927	2.0635195	2.1981466
EUR_only__greedy_maxmin__rep1	EUR_only	greedy_maxmin	gex	HG01628	1019	0.8204121687929342	109.311485	112.7927	2.0635195	2.1981466
EUR_only__greedy_maxmin__rep3	EUR_only	greedy_maxmin	atac	HG02233	1023	0.9081133919843597	110.19074	113.52216	2.0968492	2.2269123
EUR_only__greedy_maxmin__rep3	EUR_only	greedy_maxmin	gex	HG01628	1048	0.8396946564885496	110.19074	113.52216	2.0968492	2.2269123
EUR_only__random__rep1	EUR_only	random	atac	HG01672	1023	0.9022482893450635	101.336075	106.89171	1.7733938	1.9739898
EUR_only__random__rep1	EUR_only	random	gex	HG00106	982	0.8034623217922607	101.336075	106.89171	1.7733938	1.9739898
EUR_only__random__rep2	EUR_only	random	atac	HG00332	1023	0.906158357771261	100.68764	105.131065	1.7507707	1.9097849
EUR_only__random__rep2	EUR_only	random	gex	NA20807	981	0.8093781855249745	100.68764	105.131065	1.7507707	1.9097849
EUR_only__random__rep3	EUR_only	random	atac	HG01785	1041	0.9000960614793467	98.45303	104.22318	1.6739218	1.8773739
EUR_only__random__rep3	EUR_only	random	gex	HG00131	1048	0.8291984732824428	98.45303	104.22318	1.6739218	1.8773739
SAS_only__adversarial_mindist__rep2	SAS_only	adversarial_mindist	atac	HG03624	1023	0.9042033235581622	99.48869323730467	101.62850189208984	1.3709405660629272	1.434191107749939
SAS_only__adversarial_mindist__rep2	SAS_only	adversarial_mindist	gex	HG04173	981	0.7910295616717635	99.48869323730467	101.62850189208984	1.3709405660629272	1.434191107749939
SAS_only__greedy_maxkl__rep1	SAS_only	greedy_maxkl	atac	HG04216	981	0.9041794087665648	114.44212341308594	123.1100082397461	1.7993216514587402	2.0306551456451416
SAS_only__greedy_maxkl__rep1	SAS_only	greedy_maxkl	gex	HG04216	981	0.8154943934760448	114.44212341308594	123.1100082397461	1.7993216514587402	2.0306551456451416
SAS_only__greedy_maxmean__rep1	SAS_only	greedy_maxmean	atac	HG03738	1041	0.9029779058597502	113.26959	123.90059	2.2156625	2.6552427
