pool	universe	strategy	modality	bottleneck_donor	btl_n_cells	btl_ll_gap	min_dist	mean_dist	kl_min	kl_mean
AMR_only__random__rep2	AMR_only	random	atac	NA19774	902	25.64988913525499	103.71596	107.51616	1.8576682	1.9972973
AMR_only__random__rep2	AMR_only	random	gex	HG01360	903	9.36359911406423	103.71596	107.51616	1.8576682	1.9972973
AMR_only__random__rep3	AMR_only	random	atac	HG02089	898	27.101815144766146	95.01053	108.602104	1.5589077	2.0433142
AMR_only__random__rep3	AMR_only	random	gex	HG01474	888	9.552815315315314	95.01053	108.602104	1.5589077	2.0433142
EAS_only__adversarial_mindist__rep1	EAS_only	adversarial_mindist	atac	HG01873	922	21.26882863340564	92.89779663085938	95.63932037353516	1.169398069381714	1.2518590688705444
EAS_only__adversarial_mindist__rep1	EAS_only	adversarial_mindist	gex	NA19066	827	7.681475211608222	92.89779663085938	95.63932037353516	1.169398069381714	1.2518590688705444
EAS_only__adversarial_mindist__rep3	EAS_only	adversarial_mindist	atac	NA18648	890	22.303707865168537	90.57593536376952	95.3362274169922	1.115867257118225	1.2524397373199463
EAS_only__adversarial_mindist__rep3	EAS_only	adversarial_mindist	gex	NA18648	707	7.595770862800566	90.57593536376952	95.3362274169922	1.115867257118225	1.2524397373199463
EAS_only__greedy_maxkl__rep2	EAS_only	greedy_maxkl	atac	HG00407	936	21.943141025641026	102.90287017822266	105.93866729736328	1.4526095390319824	1.5450935363769531
EAS_only__greedy_maxkl__rep2	EAS_only	greedy_maxkl	gex	NA19067	845	7.6833846153846155	102.90287017822266	105.93866729736328	1.4526095390319824	1.5450935363769531
EAS_only__greedy_maxkl__rep3	EAS_only	greedy_maxkl	atac	HG00407	935	21.818160427807488	104.01441955566406	107.6406021118164	1.4437906742095947	1.5713285207748413
EAS_only__greedy_maxkl__rep3	EAS_only	greedy_maxkl	gex	HG00410	841	7.837336504161712	104.01441955566406	107.6406021118164	1.4437906742095947	1.5713285207748413
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	atac	NA18989	918	21.945359477124182	101.04949	108.488594	1.7633773	2.0337481
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	gex	HG00525	814	7.56982800982801	101.04949	108.488594	1.7633773	2.0337481
EAS_only__greedy_maxmean__rep2	EAS_only	greedy_maxmean	atac	HG02383	925	22.29492972972973	101.862656	107.79176	1.7918719	2.0078135
EAS_only__greedy_maxmean__rep2	EAS_only	greedy_maxmean	gex	NA18562	847	7.590519480519481	101.862656	107.79176	1.7918719	2.0078135
EAS_only__greedy_maxmean__rep3	EAS_only	greedy_maxmean	atac	HG00982	905	22.066397790055248	102.86399	107.9199	1.8272742	2.012507
EAS_only__greedy_maxmean__rep3	EAS_only	greedy_maxmean	gex	HG00525	904	7.691393805309735	102.86399	107.9199	1.8272742	2.012507
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	atac	HG00475	944	21.659703389830508	105.17604	108.05689	1.9103398	2.0170093
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	gex	HG02383	815	8.01114110429448	105.17604	108.05689	1.9103398	2.0170093
EAS_only__greedy_maxmin__rep2	EAS_only	greedy_maxmin	atac	NA19067	899	22.435406006674082	102.90287	105.93867	1.8286557	1.9388591
EAS_only__greedy_maxmin__rep2	EAS_only	greedy_maxmin	gex	NA19067	858	7.855967365967366	102.90287	105.93867	1.8286557	1.9388591
EAS_only__random__rep1	EAS_only	random	atac	HG02122	929	21.42471474703983	98.48858	100.94222	1.6751306	1.760454
EAS_only__random__rep1	EAS_only	random	gex	HG02122	873	7.762474226804124	98.48858	100.94222	1.6751306	1.760454
EAS_only__random__rep2	EAS_only	random	atac	HG01801	913	23.265224534501645	95.77578	100.570946	1.5841211	1.7477361
EAS_only__random__rep2	EAS_only	random	gex	NA19060	867	8.005697808535178	95.77578	100.570946	1.5841211	1.7477361
EUR_AFR__adversarial_family_mixed__rep1	EUR_AFR	adversarial_family_mixed	atac	NA10838	889	13.211833520809899	74.20242309570312	108.13706970214844	0.7649052739143372	1.6871192455291748
EUR_AFR__adversarial_family_mixed__rep1	EUR_AFR	adversarial_family_mixed	gex	NA10838	796	4.800879396984925	74.20242309570312	108.13706970214844	0.7649052739143372	1.6871192455291748
EUR_AFR__adversarial_family_mixed__rep2	EUR_AFR	adversarial_family_mixed	atac	NA12877	895	13.206435754189945	75.80896759033203	107.3395004272461	0.8036584258079529	1.6687061786651611
EUR_AFR__adversarial_family_mixed__rep2	EUR_AFR	adversarial_family_mixed	gex	NA12877	795	5.122050314465409	75.80896759033203	107.3395004272461	0.8036584258079529	1.6687061786651611
EUR_AFR__adversarial_family_mixed__rep3	EUR_AFR	adversarial_family_mixed	atac	NA10860	892	13.078385650224215	74.65252685546875	109.64427947998048	0.782111644744873	1.737396478652954
EUR_AFR__adversarial_family_mixed__rep3	EUR_AFR	adversarial_family_mixed	gex	NA10860	818	4.8993398533007335	74.65252685546875	109.64427947998048	0.782111644744873	1.737396478652954
EUR_AFR__adversarial_mindist__rep3	EUR_AFR	adversarial_mindist	atac	NA19210	892	25.759125560538116	101.38540649414062	103.82488250732422	1.398493766784668	1.4899033308029177
EUR_AFR__adversarial_mindist__rep3	EUR_AFR	adversarial_mindist	gex	HG02973	838	10.003198090692125	101.38540649414062	103.82488250732422	1.398493766784668	1.4899033308029177
EUR_AFR__ancestry_balanced__rep1	EUR_AFR	ancestry_balanced	atac	NA07435	945	26.077925925925925	102.610916	115.37739	1.8182942	2.309016
