pool	acc	p_sng	universe	strategy	min_dist	mean_dist	kl_min	heldout	p_donor	ll_gap	sng_gap	frac_below20	modality
AFR_only__adversarial_mindist__rep1	0.8259044326460057	0.8267687368810964	AFR_only	adversarial_mindist	100.0	103.62320709228516	1.406992793083191	False	0.9989545997610514	10.133406511350058	73.99424283154121	0.10364396654719235	gex
AFR_only__adversarial_mindist__rep2	0.8183726385973576	0.8187430546981109	AFR_only	adversarial_mindist	99.77975463867188	102.8152847290039	1.3821614980697632	False	0.9995475795505957	9.803743025184739	72.79269793394661	0.10556477152767305	gex
AFR_only__adversarial_mindist__rep3	0.8378812199036918	0.8383751080380294	AFR_only	adversarial_mindist	102.23502349853516	104.52959442138672	1.4229131937026978	True	0.9994108983799705	9.936954344624448	72.32135640648012	0.1122238586156112	gex
AFR_only__greedy_maxkl__rep2	0.8405976046425485	0.841091492776886	AFR_only	greedy_maxkl	112.56553649902344	119.12351989746094	1.678526520729065	False	0.9994128009395185	10.150330299471522	73.48527304756313	0.10349383440986494	gex
AFR_only__greedy_maxkl__rep3	0.8212124953697988	0.8223237436720583	AFR_only	greedy_maxkl	113.2298583984375	119.63823699951172	1.6853902339935305	True	0.9986486486486487	9.885719219219219	72.8179039039039	0.10810810810810811	gex
AFR_only__greedy_maxmean__rep1	0.8255340165452525	0.8260279046795901	AFR_only	greedy_maxmean	104.52751	120.43151	1.8868535	False	0.9994020926756353	11.069895366218237	80.46765919282511	0.08251121076233184	gex
AFR_only__greedy_maxmean__rep2	0.8270156809482652	0.8273860970490184	AFR_only	greedy_maxmean	104.52751	120.3787	1.8868535	False	0.9995523056260259	10.752499626921354	79.17257573496494	0.08744963438292792	gex
AFR_only__greedy_maxmean__rep3	0.8236819360414867	0.8239288801086554	AFR_only	greedy_maxmean	104.52751	120.66752	1.8868535	False	0.999700284729507	11.184892851790798	81.66163494680053	0.08062340776262551	gex
AFR_only__greedy_maxmin__rep1	0.8430670453142364	0.8433139893814051	AFR_only	greedy_maxmin	113.7717	120.03552	2.23535	False	0.9997071742313324	11.21153147877013	81.54238945827232	0.07906295754026355	gex
AFR_only__greedy_maxmin__rep2	0.8252870724780837	0.8256574885788369	AFR_only	greedy_maxmin	112.56554	119.12352	2.1882045	True	0.9995513683266039	11.041796022132496	80.59326155226559	0.08793180798564379	gex
